arrival_time,departure_time,service_type,wait_time,service_time,total_time,profit
19.641127106685694,23.355235728787545,Venta de Reparados,0.0,3.7141086221018504,3.7141086221018504,750
56.79672288379258,71.88269271857338,Reparación Garantía,0.0,15.085969834780798,15.085969834780798,0
66.97610279303501,106.31511113516068,Reparación Garantía,0.0,39.339008342125666,39.339008342125666,0
97.96751686508206,124.59230532837547,Reparación Garantía,0.0,26.624788463293413,26.624788463293413,0
114.75665627507249,134.41991245692196,Reparación Sin Garantía,0.0,19.663256181849476,19.663256181849476,350
134.83933209681922,159.00538709656752,Cambio de Equipo,0.0,24.166054999748297,24.166054999748297,500
183.51842241709136,188.7081768275897,Venta de Reparados,0.0,5.189754410498352,5.189754410498352,750
148.14085232979073,203.92595357433015,Reparación Sin Garantía,0.0,55.78510124453942,55.78510124453942,350
207.2926351256502,224.72886357357166,Reparación Garantía,0.0,17.43622844792145,17.43622844792145,0
258.2128248437342,259.14895364459494,Cambio de Equipo,0.0,0.9361288008607289,0.9361288008607289,500
249.36105278527975,277.62654090695725,Reparación Garantía,0.0,28.265488121677492,28.265488121677492,0
260.4353145210516,288.57878530502325,Reparación Sin Garantía,0.0,28.143470783971622,28.143470783971622,350
313.6440896786628,320.1834461949758,Reparación Sin Garantía,0.0,6.539356516312978,6.539356516312978,350
293.0298757252804,324.95625198697235,Reparación Garantía,0.0,31.926376261691928,31.926376261691928,0
257.59507448381447,325.3908961262104,Reparación Sin Garantía,0.0,67.79582164239594,67.79582164239594,350
365.5696217507929,389.8078249290427,Cambio de Equipo,0.0,24.238203178249762,24.238203178249762,500
469.54950085759515,474.33039472923684,Venta de Reparados,0.0,4.780893871641695,4.780893871641695,750
